GroupName	GroupID	GroupORFs
oleoyl-[acyl-carrier-protein] hydrolase activity	GO:0004320	YKL182W
fatty-acyl-CoA synthase activity	GO:0004321	YKL182W YPL231W
ferroxidase activity	GO:0004322	YDL120W YDL120W YFL041W YDL120W YFL041W YMR058W YDL120W
ferredoxin-NADP+ reductase activity	GO:0004324	YDR376W
ferrochelatase activity	GO:0004325	YBR213W YOR176W YOR176W YOR176W YOR176W
tetrahydrofolylpolyglutamate synthase activity	GO:0004326	YKL132C YMR113W YOR241W YKL132C YKL132C YOR241W YOR241W YMR113W
formate-tetrahydrofolate ligase activity	GO:0004329	YBR084W YBR084W YGR204W YGR204W YBR084W YGR204W YGR204W
fructose-2,6-bisphosphate 2-phosphatase activity	GO:0004331	YLR345W YLR345W YJL155C YJL155C YJL155C YIL107C
fructose-bisphosphate aldolase activity	GO:0004332	YKL060C YKL060C YKL060C YKL060C
fumarate hydratase activity	GO:0004333	YPL262W YPL262W YPL262W
galactokinase activity	GO:0004335	YBR020W YBR020W YBR020W YBR020W YDR009W
geranyltranstransferase activity	GO:0004337	YJL167W YPL069C YJL167W
glucan exo-1,3-beta-glucosidase activity	GO:0004338	YLR300W YGR282C YDR261C YDR261C YLR300W YOR190W YOR190W
glucan 1,4-alpha-glucosidase activity	GO:0004339	YIL099W YIL099W YIL099W
glucokinase activity	GO:0004340	YDR516C YCL040W YCL040W YCL040W
glucosamine 6-phosphate N-acetyltransferase activity	GO:0004343	YFL017C YFL017C
glucose-6-phosphate dehydrogenase activity	GO:0004345	YNL241C YNL241C YNL241C YNL241C YNL241C
glucose-6-phosphate isomerase activity	GO:0004347	YBR196C YBR196C YBR196C
glutamate 5-kinase activity	GO:0004349	YDR300C YDR300C YDR300C YDR300C YHR033W YDR300C YDR300C
glutamate-5-semialdehyde dehydrogenase activity	GO:0004350	YOR323C YOR323C YOR323C YOR323C
glutamate decarboxylase activity	GO:0004351	YMR250W YMR250W YMR250W
glutamate dehydrogenase (NAD+) activity	GO:0004352	YDL215C YDL215C YDL215C YDL215C
glutamate dehydrogenase (NADP+) activity	GO:0004354	YOR375C YOR375C YAL062W YOR375C YOR375C YAL062W YAL062W YOR375C YOR375C YAL062W
glutamate-ammonia ligase activity	GO:0004356	YPR035W YPR035W YPR035W YPR035W
glutamate-cysteine ligase activity	GO:0004357	YJL101C YJL101C YJL101C YJL101C
glutamate N-acetyltransferase activity	GO:0004358	YMR062C YMR062C YMR062C
glutamine-fructose-6-phosphate transaminase (isomerizing) activity	GO:0004360	YKL104C YMR084W YKL104C
glutathione-disulfide reductase activity	GO:0004362	YLR364W YDL010W YDL010W YPL091W YPL091W YBR014C YPL091W YPL091W
glutathione synthase activity	GO:0004363	YOL049W YOL049W YOL049W
glutathione transferase activity	GO:0004364	YLL060C YMR251W YGR154C YMR251W YDR513W YIR038C YCL035C YLL060C YGR154C YIR038C YKR076W YMR251W YKR076W YGR154C YKR076W YLL060C YIR038C
glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	GO:0004365	YJL052W YJL052W YGR192C YJR009C YGR192C YJR009C
glycerol-3-phosphate O-acyltransferase activity	GO:0004366	YKR067W YBL011W YKR067W YKR067W YBL011W YKR067W YBL011W YBL011W
glycerol-3-phosphate dehydrogenase [NAD+] activity	GO:0004367	YOL059W YOL059W YOL059W YDL022W YDL022W YDL022W
glycerol-3-phosphate dehydrogenase activity	GO:0004368	YIL155C YIL155C YIL155C YIL155C YIL155C
glycerol kinase activity	GO:0004370	YHL032C YHL032C YHL032C YHL032C
glycerone kinase activity	GO:0004371	YFL053W YFL053W YML070W YFL053W YML070W YFL053W YML070W YML070W
glycine hydroxymethyltransferase activity	GO:0004372	YLR058C YLR058C YBR263W YLR058C YLR058C YBR263W YBR263W
glycogen (starch) synthase activity	GO:0004373	YLR258W YFR015C YLR258W YLR258W YLR258W YFR015C YLR258W YFR015C
glycine dehydrogenase (decarboxylating) activity	GO:0004375	YDR019C YMR189W YAL044C YFL018C YMR189W YAL044C YMR189W YMR189W YDR019C
GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity	GO:0004377	YNL048W
GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity	GO:0004378	YGL065C YGL065C
glycylpeptide N-tetradecanoyltransferase activity	GO:0004379	YLR195C YLR195C YLR195C YLR195C
guanosine-diphosphatase activity	GO:0004382	YEL042W YEL042W YEL042W
guanylate kinase activity	GO:0004385	YDR454C YDR454C YDR454C
helicase activity	GO:0004386	YNR038W YLR467W YHR065C YMR290C YDR334W YAL019W YPR204W YHR065C YLR398C YLR430W YER190W YMR290C YER190W YDL084W YIL143C YKL078W YLL067C YBR202W YJL092W YER164W YGR296W YMR128W YLR247C YPL235W YLL067C YEL032W YNL339C YNL339C YOR204W YPR204W YOR396W YBR237W YPL119C YMR080C YBR237W YPL082C YGL150C YLR467W YAL019W YMR190C YBR142W YDR243C YIR002C YER171W YMR128W YBR073W YGL171W YOR290C YDR545W YDR194C YPL283C YBR114W YGL163C YOR396W YJR035W YML061C YFR038W YJL050W YBR073W YBL023C YLL008W YER164W YDR291W YGR271W YGR005C YBL112C YER176W YLR247C YML133C YBR114W YDL084W YDR334W YOL095C YIL126W YGL150C YOR191W YKR024C YDR332W YDL160C YMR284W YGL064C YLR276C YLR247C YDR291W YDR332W YHR169W YDL031W YGL120C YNL112W YFL066C YDL160C YHL050C YJL033W YGL064C YML133C YKR086W YOR304W YOR396W YJL225C YER013W YEL077C YPL082C YLL066C YDL031W YGL251C YLR032W YBR245C YNL112W YOR191W YDR194C YHR169W YPL029W YJR035W YGL078C YKR024C YIR002C YML133C YFL002C YIL177C YPL119C YGL078C YLR398C YJL033W YLR276C YLR430W YJL225C YIL126W YPR019W YMR190C YLR274W YJL225C YPL008W YLR466W YLL067C YER172C YGL120C YEL077C YDR545W YEL077C YNR038W YBR142W YGL201C YLR419W YLR419W YBR245C YDR021W YIL177C YBL113C YER172C YDR243C YMR106C YFL066C YPL283C YIL177C YKL017C YLL066C YGL251C YLR466W YKR086W YIL143C YOR046C YOR290C YHR031C YHR164C YGL171W YGL163C YPL029W YGR296W YFL002C YNR011C YJL050W YLL008W YDR190C YKL078W YLR032W YFR038W YER013W YLL066C YOR046C YDR021W YGR271W YOR204W YIL126W YMR080C YOR304W
heme oxygenase (decyclizing) activity	GO:0004392	YLR205C YLR205C YLR205C
hexaprenyldihydroxybenzoate methyltransferase activity	GO:0004395	YOL096C YOL096C
hexokinase activity	GO:0004396	YFR053C YLR446W YGL253W YFR053C YGL253W YGL253W YGL253W YCL040W YDR516C YFR053C YGL253W YFR053C YFR053C
histidinol dehydrogenase activity	GO:0004399	YCL030C YCL030C YCL030C YCL030C
histidinol-phosphate transaminase activity	GO:0004400	YIL116W YIL116W YIL116W
histidinol-phosphatase activity	GO:0004401	YFR025C YFR025C YFR025C
histone acetyltransferase activity	GO:0004402	YGR252W YEL056W YOR213C YCR082W YMR127C YPR193C YFL024C YDR181C YPL001W YPR193C YPL086C YGR252W YOR244W YOR244W YBL052C YGL066W YPL086C YPL001W YOR023C YPL086C YOR064C YPL001W YHR090C YEL056W YEL056W YMR127C YMR069W YGR274C YBL052C YPL001W YBL052C YMR069W YHR099W YPL001W YPL001W YLL002W YDR448W YDR176W YJL081C YPR031W YPR023C YGR274C YJL127C YPL001W YJR082C YEL056W
histone deacetylase activity	GO:0004407	YPR179C YBR095C YNL330C YDR191W YPR179C YNL021W YIL084C YPR068C YNL330C YNL330C YOR025W YPL116W YNL330C YNL330C YMR263W YDR295C YNL330C YGL194C
holocytochrome-c synthase activity	GO:0004408	YAL039C YKL087C YAL039C YAL039C YKL087C YKL087C
homoaconitate hydratase activity	GO:0004409	YDR234W YDR234W YDR234W
homocitrate synthase activity	GO:0004410	YDL182W YDL131W YDL182W YDL182W YDL182W YDL182W YDL182W YDL131W
homoserine dehydrogenase activity	GO:0004412	YJR139C YJR139C YJR139C YJR139C
homoserine kinase activity	GO:0004413	YHR025W YHR025W YHR025W YHR025W
homoserine O-acetyltransferase activity	GO:0004414	YNL277W YNL277W YNL277W YNL277W
hydroxyacylglutathione hydrolase activity	GO:0004416	YDR272W YOR040W YOR040W YOR040W YOR040W YDR272W YDR272W
hydroxyethylthiazole kinase activity	GO:0004417	YPL214C YPL214C YPL214C
hydroxymethylbilane synthase activity	GO:0004418	YDL205C YDL205C YDL205C YDL205C
hydroxymethylglutaryl-CoA reductase (NADPH) activity	GO:0004420	YLR450W YML075C YLR450W YML075C YML075C YML075C YLR450W
hydroxymethylglutaryl-CoA synthase activity	GO:0004421	YML126C YML126C YML126C
hypoxanthine phosphoribosyltransferase activity	GO:0004422	YDR399W YJR133W YDR399W YDR399W YDR399W YDR399W YDR399W
imidazoleglycerol-phosphate dehydratase activity	GO:0004424	YOR202W YOR202W YOR202W YOR202W
indole-3-glycerol-phosphate synthase activity	GO:0004425	YKL211C YKL211C YKL211C YKL211C YKL211C
inorganic diphosphatase activity	GO:0004427	YMR267W YMR267W YMR267W YMR267W YBR011C YBR011C YBR011C
1-phosphatidylinositol 4-kinase activity	GO:0004430	YLR305C YLR305C YNL267W YJL100W YNL267W YNL267W YJL100W YJL100W YJL100W YKL203C YNL267W YLR305C YNL267W
phosphatidylinositol phospholipase C activity	GO:0004435	YPL268W YPL268W YPL268W YPL268W YPL268W YPL268W
phosphatidylinositol-3-phosphatase activity	GO:0004438	YJR110W YJR110W YNL106C YKL212W YJR110W YOR109W
phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	GO:0004439	YOL065C YIL002C YNL106C YIL002C YOR109W YIL002C YIL002C YOL065C YIL002C YNL106C YOR109W YNL106C YOR109W
isocitrate dehydrogenase (NAD+) activity	GO:0004449	YOR136W YOR136W YNL037C YNL037C YNL037C YOR136W
isocitrate dehydrogenase (NADP+) activity	GO:0004450	YNL009W YNL009W YNL009W YDL066W YDL066W YLR174W YLR174W YLR174W YDL066W
isocitrate lyase activity	GO:0004451	YER065C YER065C YER065C YPR006C YER065C
isopentenyl-diphosphate delta-isomerase activity	GO:0004452	YPL117C YPL117C YPL117C
ketol-acid reductoisomerase activity	GO:0004455	YLR355C YLR355C YLR355C YLR355C
D-lactate dehydrogenase (cytochrome) activity	GO:0004458	YDL174C YDL174C YDL178W YDL178W YDL174C YEL071W YEL071W
L-lactate dehydrogenase (cytochrome) activity	GO:0004460	YML054C YML054C
lactoylglutathione lyase activity	GO:0004462	YML004C YML004C YML004C
leukotriene-A4 hydrolase activity	GO:0004463	YNL045W YNL045W YNL045W
long-chain fatty acid-CoA ligase activity	GO:0004467	YOR317W YMR246W YMR246W YMR246W YMR246W YOR317W YIL009W YOR317W YER015W YER015W YOR317W YOR317W YMR246W YIL009W
malic enzyme activity	GO:0004470	YKL029C YKL029C YKL029C
malate synthase activity	GO:0004474	YNL117W YIR031C YIR031C YNL117W YIR031C YNL117W
mannose-1-phosphate guanylyltransferase activity	GO:0004475	YDL055C YDL055C YDL055C
mannose-6-phosphate isomerase activity	GO:0004476	YER003C YER003C YER003C
methenyltetrahydrofolate cyclohydrolase activity	GO:0004477	YGR204W YBR084W YBR084W YGR204W
methionine adenosyltransferase activity	GO:0004478	YLR180W YDR502C YDR502C YLR180W YLR180W YLR180W YDR502C
methionyl-tRNA formyltransferase activity	GO:0004479	YBL013W YBL013W YBL013W YBL013W
mRNA (guanine-N7-)-methyltransferase activity	GO:0004482	YBR236C YBR236C YBR236C YBR236C
mRNA guanylyltransferase activity	GO:0004484	YGL130W YGL130W YGL130W
methylenetetrahydrofolate dehydrogenase (NAD+) activity	GO:0004487	YKR080W YKR080W YKR080W
methylenetetrahydrofolate dehydrogenase (NADP+) activity	GO:0004488	YBR084W YGR204W YBR084W YGR204W YKR080W YBR084W YGR204W
methylenetetrahydrofolate reductase (NADPH) activity	GO:0004489	YGL125W YGL125W YPL023C YGL125W YPL023C YPL023C YGL125W YGL125W YPL023C
mevalonate kinase activity	GO:0004496	YMR208W YMR208W YMR208W
monooxygenase activity	GO:0004497	YGR255C YHR007C YMR015C YHR007C YJR070C YGR255C YBL098W YHR176W YDR402C YJR149W YOR125C
N,N-dimethylaniline monooxygenase activity	GO:0004499	YHR176W YHR176W YGR255C
kynurenine 3-monooxygenase activity	GO:0004502	YBL098W YBL098W
squalene monooxygenase activity	GO:0004506	YGR175C YGR175C YGR175C YGR175C
inositol-3-phosphate synthase activity	GO:0004512	YJL153C YJL153C YJL153C
nicotinate-nucleotide diphosphorylase (carboxylating) activity	GO:0004514	YFR047C YFR047C YFR047C YOR209C
nicotinate phosphoribosyltransferase activity	GO:0004516	YOR209C YOR209C YOR209C
nuclease activity	GO:0004518	YDR210C-D YOR048C YDR261C-D YAR008W YMR234W YNL054W-B YGR276C YLR277C YDR263C YOR343W-B YER160C Q0070 YOR368W YDR261W-B YLR105C YIL082W-A YML039W YNL072W YML045W YGR038C-B YOR142W-B YKL113C YLR105C YDR210W-B YGL085W YDR365W-B YOL103W-B YHL009W-B YPL257W-B YLR143W YDR098C-B YDR316W-B YGR258C YOL080C YMR224C YAR008W YML095C YDL185W YPR158W-B YOR033C YDR478W YHR164C YCL019W Q0110 YAR009C YLR107W YBR012W-B YBL005W-B YLR059C YKR079C YDR263C YOL042W YDR386W YBL019W YDR034C-D YKL011C YNL085W YLR132C YBR163W YOR056C YMR287C YNR052C YFL002W-A YGR027W-B YMR137C YLR410W-B YER138C YGL173C Q0160 YHR214C-B Q0075 YBR098W YPR158C-D YGR161C-D YAL021C YER041W YPL123C YDL227C YBL100W-B YNL085W YPL022W YBL055C YLR227W-B YGR161W-B YDR386W YDR263C YMR285C YNL250W YOR001W Q0065 YBR228W YMR045C YNL001W YOR192C-B YJL113W YLR157C-B YML118W YMR239C YJR029W YBR098W YPL022W YGR109W-B YOL021C YKL113C YGL094C YML091C YER041W YMR262W YJL087C YLR035C-A YJR027W YBR223C YMR050C YPR137C-B Q0060 YDL102W YGL175C YNL284C-B YGR258C YOR033C YJL208C
endonuclease activity	GO:0004519	YKR079C YMR239C YDR210C-D Q0060 YNL072W YOL043C YOR192C-B Q0050 YDR261W-B Q0060 YBL100W-B YDL227C YDR365W-B YKL011C YAR009C YMR224C YER160C YAR008W YNL054W-B YGR027W-B YOR343W-B YMR224C Q0160 YML039W YML118W YPL022W YLR143W YDL227C Q0070 Q0070 YLR277C YBR098W YML091C YLR227W-B YJR027W YML045W Q0110 YMR050C YDR263C YLR105C YPR158W-B YCL019W Q0075 YLR035C-A YPR158C-D YGR161C-D YPL123C YDR316W-B Q0070 YGR258C YGR258C Q0075 YLR157C-B YDR261C-D YIL082W-A YDR386W YDR098C-B YER041W YGR161W-B Q0160 YMR224C YBL019W Q0160 Q0255 Q0065 YDL227C YFL002W-A YDR210W-B YML095C YER138C YKL113C Q0065 YML095C Q0055 YGR109W-B YNL001W YJL208C YOL103W-B YOL021C YDR034C-D YGL175C YJL113W YKL114C YJR029W YHR214C-B YOR142W-B YDL227C YLR410W-B YBL055C YDR386W Q0120 YOL042W Q0115 YBR228W YAL015C YJL087C YDL185W YGL085W YDL185W YBL005W-B YNL284C-B Q0060 YBR098W YMR045C Q0065 YGR038C-B YPL257W-B YPR137C-B YBR012W-B YHL009W-B YPL022W YMR234W
endodeoxyribonuclease activity	GO:0004520	YIR021W Endo.SceI YMR224C YDL185W YJL208C YKL011C YIR021W
endoribonuclease activity	GO:0004521	YMR285C YLR277C YNL001W YPL123C YOL021C YOR166C YOR166C YOL021C YLR277C YOR056C YOL021C YOL010W YHR079C YPL123C YOL021C YMR285C YOL021C YNL001W
ribonuclease H activity	GO:0004523	YJR027W YDR034C-D YNL072W YBR012W-B YLR154C YNL072W YMR050C YPR158W-B YDR279W YLR035C-A YLR157C-B YBL100W-B YHR214C-B YOL103W-B YIL082W-A YNL072W YBL005W-B YMR234W YGR038C-B YMR234W YGR161C-D YDR279W YNL054W-B YOR142W-B YNL072W YNL284C-B YGR161W-B YPR137C-B YPR158C-D YJL113W YHL009W-B YLR227W-B YMR234W YPL257W-B YER138C YFL002W-A YDR261C-D YDR210C-D YLR410W-B YNL072W YML039W YDR261W-B YMR045C YML045W YGR109W-B YLR154C YGR027W-B YOR192C-B YJR029W YDR098C-B YOR343W-B YER160C YDR365W-B YCL019W YDR210W-B YDR316W-B YAR009C
ribonuclease III activity	GO:0004525	YMR239C YMR239C YMR024W YLR312W-A YMR239C
ribonuclease P activity	GO:0004526	YML091C NA YBR167C YIR015W YHR062C YNL221C YAL033W NA YNL221C YGR030C YGR030C YAL033W YBR257W YBL018C YHR062C YBR257W YNL221C YNL282W YML091C NA YIR015W YBL018C YBR167C YHR062C YIR015W NA YNL282W
exonuclease activity	GO:0004527	YGR276C YOR048C YLR107W YOL080C YMR224C YML118W YLR107W YBR223C YGL173C YGL094C YOR033C YOL080C YMR285C YOL021C YNR052C YMR137C YDL102W YGL173C YOR048C YBR163W YMR287C YMR224C YKL113C YGL094C YGR276C YAL021C YOL042W YLR059C YOR001W YLR059C
phosphodiesterase I activity	GO:0004528	YCR026C YEL016C YCR026C YEL016C
exodeoxyribonuclease activity	GO:0004529	YJL208C
5'-3' exoribonuclease activity	GO:0004534	YOR048C YOR048C YGL173C YGL173C
poly(A)-specific ribonuclease activity	GO:0004535	YGL094C YGL094C YGL094C YNR052C YML118W YKL025C YAL021C YKL025C
deoxyribonuclease activity	GO:0004536	YGL173C
ribonuclease activity	GO:0004540	YGR027W-B YDR210C-D YBR012W-B YNL284C-B YPR158W-B YMR045C YPL257W-B YFL002W-A YJL113W YOL103W-B YER138C YLR410W-B YAR009C YOL021C YNL054W-B YIL082W-A YCL074W YDR316W-B YDR210W-B YCL075W YDR365W-B YLR227W-B YGR161C-D YIL080W YER160C YJR029W YGR161W-B YGR109W-B YDR261W-B YBL100W-B YML039W YPR158C-D YJL208C YMR050C YDR034C-D YPR137C-B YOR142W-B YJR027W YOR192C-B YHR214C-B YGR038C-B YBR257W YBL005W-B YDR261C-D YOR343W-B YMR287C YCL019W YDR293C YML045W YLR157C-B YHL009W-B YHR062C YDR098C-B YAL033W
nucleoside diphosphate kinase activity	GO:0004550	YKL067W YKL067W YKL067W
nucleotide diphosphatase activity	GO:0004551	YEL016C YEL016C YCR026C YCR026C
hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	YLR213C YMR305C YGR279C YLR286C YGR189C YLR300W YOR190W YIR007W YDR371W YIL162W YEL011W YBR229C YGL156W YGL028C YEL040W YGR282C YDR261C YIL099W
alpha,alpha-trehalase activity	GO:0004555	YBR001C YPR026W YDR001C YBR001C YDR001C YBR001C YPR026W YDR001C
alpha-galactosidase activity	GO:0004557	NA NA NA NA NA NA NA NA NA NA NA NA
alpha-glucosidase activity	GO:0004558	YBR299W YBR299W YBR229C MALS MALS YDR221W YDR221W MALS YGR292W
alpha-mannosidase activity	GO:0004559	YGL156W YGL156W YGL156W YGL156W
beta-fructofuranosidase activity	GO:0004564	NA SUC6 NA YIL162W YIL162W NA NA YIL162W YIL162W
chitinase activity	GO:0004568	YDR371W YLR286C YDR371W YLR286C
mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	GO:0004571	YLR057W YJR131W YHR204W YJR131W YHR204W YJR131W YJR131W YJR131W YJR131W
mannosyl-oligosaccharide glucosidase activity	GO:0004573	YGL027C YGL027C YGL027C YGL027C YGL027C
oligo-1,6-glucosidase activity	GO:0004574	YJL216C YJL216C YJL216C YIL172C YIL172C YGR287C YIL172C YJL221C YJL221C YGR287C YOL157C YGR287C YOL157C YOL157C YJL221C
sucrose alpha-glucosidase activity	GO:0004575	YGR292W YBR299W YIL162W
oligosaccharyl transferase activity	GO:0004576	YGL022W
N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity	GO:0004577	YBR070C YGL047W YBR070C YGL047W YBR070C YBR070C YBR070C YGL047W YGL047W YGL047W YGL047W
chitobiosyldiphosphodolichol beta-mannosyltransferase activity	GO:0004578	YBR110W
dolichyl-diphosphooligosaccharide-protein glycotransferase activity	GO:0004579	YDL232W YDL232W YGL022W YML019W YJL002C YMR149W YGL226C-A YOR103C YMR149W YEL002C YOR085W YEL002C YOR085W YJL002C
dolichyl-phosphate beta-glucosyltransferase activity	GO:0004581	YPL227C YPL227C
dolichyl-phosphate beta-D-mannosyltransferase activity	GO:0004582	YPR183W YPR183W YPR183W
dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity	GO:0004583	YGR227W
dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase activity	GO:0004584	YBR004C YBR004C YGL142C YOR149C YGL142C YBR004C
ornithine carbamoyltransferase activity	GO:0004585	YJL088W YJL088W
ornithine decarboxylase activity	GO:0004586	YKL184W YKL184W
ornithine-oxo-acid transaminase activity	GO:0004587	YLR438W YLR438W
orotate phosphoribosyltransferase activity	GO:0004588	YMR271C YML106W YML106W YML106W YMR271C YMR271C YMR271C YML106W YMR271C
orotidine-5'-phosphate decarboxylase activity	GO:0004590	YEL021W YEL021W YEL021W YEL021W YEL021W
oxoglutarate dehydrogenase (succinyl-transferring) activity	GO:0004591	YIL125W YIL125W YFL018C YIL125W
pantoate-beta-alanine ligase activity	GO:0004592	YIL145C YIL145C YIL145C YIL145C
pantothenate kinase activity	GO:0004594	YDR531W YDR531W YDR531W YDR531W
pantetheine-phosphate adenylyltransferase activity	GO:0004595	YGR277C YGR277C
peptide alpha-N-acetyltransferase activity	GO:0004596	YHR013C YPR051W YPR131C YEL053C YHR013C YDL040C YGR147C YPR131C YPR131C YOR253W YCR020C-A YOL076W YDL040C YOL076W YHR013C YPR051W
peroxidase activity	GO:0004601	YDR256C YIL010W YBR244W YML028W YDR453C YBL064C YGR088W YKR066C YIR037W YKL026C YKR066C YLR109W
glutathione peroxidase activity	GO:0004602	YBR244W YBR244W YBR244W YNL229C YBR244W YKL026C YBR244W YCL035C YKL026C YIR037W YBR244W YKL026C YIR038C YIR037W YIR037W YKL026C YDR513W YDR513W YKL026C YCL035C
phosphoadenylyl-sulfate reductase (thioredoxin) activity	GO:0004604	YPR167C YPR167C YPR167C YPR167C
phosphatidate cytidylyltransferase activity	GO:0004605	YBR029C YBR029C YBR029C
phosphatidylethanolamine N-methyltransferase activity	GO:0004608	YGR157W YJR073C YGR157W YGR157W YGR157W YGR157W YGR157W
phosphatidylserine decarboxylase activity	GO:0004609	YGR170W YNL169C YGR170W YNL169C YNL169C YGR170W
phosphoacetylglucosamine mutase activity	GO:0004610	YEL058W YEL058W YEL058W YEL058W
phosphoenolpyruvate carboxykinase activity	GO:0004611	YKR097W
phosphoenolpyruvate carboxykinase (ATP) activity	GO:0004612	YKR097W YKR097W YKR097W YKR097W
phosphoglucomutase activity	GO:0004614	YKL127W YKL127W YKL127W YMR278W YMR105C YMR105C YMR278W YMR105C YMR278W YMR105C YEL058W YMR105C YMR105C YMR278W
phosphomannomutase activity	GO:0004615	YFL045C YFL045C YFL045C
phosphogluconate dehydrogenase (decarboxylating) activity	GO:0004616	YGR256W YHR183W YGR256W YHR183W YHR183W YGR256W
phosphoglycerate dehydrogenase activity	GO:0004617	YIL074C YER081W YIL074C YER081W
phosphoglycerate kinase activity	GO:0004618	YCR012W YCR012W YCR012W
phosphoglycerate mutase activity	GO:0004619	YDL021W YKL152C YKL152C YKL152C YOL056W YDL021W YKL152C YOL056W
phospholipase activity	GO:0004620	YNL012W YMR006C YMR008C YOL011W YOR022C YNL012W
lysophospholipase activity	GO:0004622	YML059C YMR006C YML059C YMR006C YMR006C YMR006C YMR008C YML059C YOL011W YMR008C YMR008C YOL011W YOL011W
phospholipase A2 activity	GO:0004623	YGR110W YGR110W
phospholipase D activity	GO:0004630	YKR031C YKR031C
phosphomevalonate kinase activity	GO:0004631	YMR220W YMR220W
phosphopantothenate--cysteine ligase activity	GO:0004632	YIL083C YIL083C
phosphopantothenoylcysteine decarboxylase activity	GO:0004633	YKL088W YKL088W YKR072C YKL088W YKR072C YKR072C YOR054C YKL088W YOR054C YOR054C
phosphopyruvate hydratase activity	GO:0004634	YPL281C YMR323W YMR323W YMR323W YMR323W YOR393W YPL281C YGR254W YGR254W YPL281C YHR174W YOR393W YGR254W YHR174W YOR393W YHR174W
phosphoribosyl-AMP cyclohydrolase activity	GO:0004635	YCL030C YCL030C YCL030C YCL030C
phosphoribosyl-ATP diphosphatase activity	GO:0004636	YCL030C YCL030C YCL030C YCL030C
phosphoribosylamine-glycine ligase activity	GO:0004637	YGL234W YGL234W YGL234W
phosphoribosylaminoimidazole carboxylase activity	GO:0004638	YOR128C YOR128C YOR128C
phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	GO:0004639	YAR015W YAR015W YAR015W YAR015W YAR015W
phosphoribosylanthranilate isomerase activity	GO:0004640	YDR007W YDR007W YDR007W YDR007W
phosphoribosylformylglycinamidine cyclo-ligase activity	GO:0004641	YGL234W YGL234W YGL234W
phosphoribosylformylglycinamidine synthase activity	GO:0004642	YGR061C YGR061C YGR061C
phosphoribosylaminoimidazolecarboxamide formyltransferase activity	GO:0004643	YMR120C YMR120C YLR028C YLR028C YLR028C YMR120C
phosphoribosylglycinamide formyltransferase activity	GO:0004644	YDR408C YDR408C YDR408C
phosphorylase activity	GO:0004645	YLR017W YPR160W YPR160W
phosphoserine phosphatase activity	GO:0004647	YGR208W YGR208W YGR208W
O-phospho-L-serine:2-oxoglutarate aminotransferase activity	GO:0004648	YOR184W YOR184W YOR184W YOR184W
polygalacturonase activity	GO:0004650	YJR153W YJR153W YJR153W
polynucleotide 5'-phosphatase activity	GO:0004651	YMR180C YMR180C YPL228W YMR180C YPL228W YPL228W
polynucleotide adenylyltransferase activity	GO:0004652	YOL115W YOL115W YOL115W YKR002W YOL115W YNL299W YNL299W YOL115W YOL115W YNL299W YNL299W YNL299W YDL175C YIL079C YOL115W YKR002W YOL115W YOL115W YDL175C YIL079C YDL175C YKR002W YOL115W YKR002W
porphobilinogen synthase activity	GO:0004655	YGL040C YGL040C YGL040C YGL040C YGL040C
proline dehydrogenase activity	GO:0004657	YLR142W YLR142W YLR142W YLR142W
prenyltransferase activity	GO:0004659	YKL019W YNR041C YDL193W YGL155W YPR176C YPL172C YBR002C YMR101C YJL031C YBR002C YDL090C
protein farnesyltransferase activity	GO:0004660	YDL090C YDL090C YKL019W YKL019W
protein geranylgeranyltransferase activity	GO:0004661	YGL155W YKL019W YGL155W
CAAX-protein geranylgeranyltransferase activity	GO:0004662	YKL019W YKL019W YGL155W YGL155W
Rab geranylgeranyltransferase activity	GO:0004663	YJL031C YOR370C YPR176C YJL031C YPR176C YPR176C YOR370C
prephenate dehydratase activity	GO:0004664	YNL316C YNL316C YNL316C YNL316C
prephenate dehydrogenase (NADP+) activity	GO:0004665	YBR166C YBR166C
protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity	GO:0004671	YDR410C YDR410C YDR410C YDR410C YDR410C
